lag,real_synergy,median_synergy_cont_shuffle,p5_synergy_cont_shuffle,p95_synergy_cont_shuffle,median_synergy_blue_shuffle,p5_synergy_blue_shuffle,p95_synergy_blue_shuffle,real_info_leak,median_leak_cont_shuffle,p5_leak_cont_shuffle,p95_leak_cont_shuffle,median_leak_blue_shuffle,p5_leak_blue_shuffle,p95_leak_blue_shuffle
14,0.05611551995096473,0.013853011093530203,0.010004240962222835,0.01934392790690013,0.00346355091664583,0.0021550410031528603,0.005586175092685235,0.3011693948964409,0.37553177738324206,0.3688377459080169,0.38293182524900216,0.3880497227360743,0.38215151690501276,0.39328340697564657
15,0.05579118060937972,0.015429625298654149,0.010108080120065775,0.0199483510356256,0.004981257847068399,0.0028842109352919193,0.00829803497585643,0.3063404122656754,0.3829394569132466,0.37512439279769993,0.3899274645412793,0.3975789936343542,0.391115922960652,0.4033363289828197
16,0.026639662330529723,0.0164954001023516,0.011572797514589403,0.022940425863037604,0.00805277504401614,0.004337269386179052,0.011381208010811043,0.3204250120700682,0.3925719058008017,0.3860421849509982,0.3990885628477007,0.4133786858666446,0.40628471311598024,0.41891521648943153
17,0.03165887552962991,0.017572419901410955,0.012809932650483505,0.023510467891186285,0.008710728818547404,0.0039138290498688996,0.012107729695068062,0.33054409132753737,0.4009111773179955,0.3940438965897778,0.40762276603997416,0.42903784611156814,0.42203402661963096,0.4335583528857718
18,0.05377264390594515,0.018725800398288882,0.013152189761941418,0.023870679795422775,0.008851424706473966,0.0034743485049488457,0.012897732649686187,0.3400020404500818,0.40763353279963876,0.40116999416957555,0.41521877700823273,0.4417818008830824,0.43629757881001874,0.4477170277122502
19,0.04900152735236144,0.018933984677073305,0.012238885402094344,0.025645862405463623,0.007272354457719413,0.0035823911250518797,0.012341117776136444,0.3487818891533241,0.41322402192261487,0.40736625805741505,0.41933748679153826,0.452033655258383,0.44568103261412423,0.45831109978651474
20,0.056197320263703984,0.02766122235778607,0.019580349743466383,0.034641427784349046,0.0073337214094010336,0.0035604684688242683,0.01203646957108975,0.3532563363962075,0.41739498167218086,0.4095078599553058,0.4259137120400606,0.4611563789602209,0.45451066615374874,0.46713252546415646
21,0.062219867879820506,0.028350342251684854,0.020522298726885876,0.03652697960527689,0.00665997571180611,0.001881448099020213,0.012885489634317319,0.3584177032998712,0.4221805155184868,0.414734162423937,0.4293621422875515,0.46713951936909526,0.46091278841832106,0.4738957632562027
22,0.061805504365907725,0.029770313460760263,0.02334422295578292,0.03844252209590822,0.008913419576164528,0.003635880674998388,0.012767869131957169,0.3573556631633993,0.42237771089026266,0.41613187917352723,0.4293988418529603,0.47184776514954563,0.46675024484263067,0.4795620798107401
23,0.07734550042081723,0.028303121123835873,0.01977591767136691,0.03408687848262853,0.008327669308167356,0.00460641171976066,0.012136784796403722,0.35403992851146376,0.4217732831240256,0.4142006374833937,0.4277685108244589,0.4727430580685654,0.4666878852899464,0.47988330699544873
24,0.07309249708657184,0.025730677391497217,0.01818642641455436,0.03297699839781138,0.007634113094411061,0.004084858474016237,0.012532777173977633,0.35782597591822346,0.422084085691798,0.4146789339300963,0.42750831564102554,0.47823507969669715,0.47210465025423864,0.48401557252808064
25,0.06491765608981592,0.024660265637722563,0.014171339595303353,0.03200780289055243,0.004850666907973597,0.0030219149463008212,0.007889392147151359,0.36685702138892895,0.4211665357993102,0.41447796050486074,0.42685849925142194,0.4845113908682103,0.4768203797302303,0.4907378663307853
26,0.0727228757074819,0.020946878430131065,0.011024297086275572,0.028867817350353334,0.005210574686332414,0.003416379890114204,0.008932322141411556,0.36482833725294117,0.4203255380872666,0.41238336588631386,0.4275639806065412,0.48379208449600186,0.47690630558018926,0.4920555986388169
27,0.0693825508303725,0.02124378119856716,0.01327579016591239,0.029426007422092178,0.00654340426358592,0.004715421801454044,0.010274216542564522,0.36967554005255915,0.420371858643239,0.4135925895960123,0.4270850237057171,0.4884332046669344,0.4800067253007255,0.4948251494243516
28,0.06593001413473373,0.021983564313348435,0.01780729731903119,0.029879647932772355,0.006573525580453232,0.004468678757097406,0.010082155199022684,0.3678312053600565,0.41704075600930035,0.4104218132884183,0.42442224783183846,0.4886536666022392,0.48081628953517086,0.49551353356825073
29,0.07190302760982901,0.019889961611511943,0.015438448783709771,0.026496852513772078,0.0056105912755204795,0.003194844444185538,0.008891840317912935,0.35712536248209625,0.41377953963001923,0.40710925146938737,0.42079801549251455,0.48646528973267944,0.4786735527097268,0.4926979295863701
30,0.06161957327721863,0.021234575837760984,0.014615720964518294,0.028354397951018743,0.005762465247549165,0.003254653142101066,0.008821546185543407,0.3515525339108031,0.4057545426407324,0.3985549889499378,0.4121316224875952,0.48225218642028944,0.4738740339675,0.48861428815564145
31,0.06406404566688102,0.017994551313043616,0.010725223957853938,0.025910211707229843,0.0063775991341035974,0.0013464067988367184,0.011673207746569457,0.3450529434169668,0.40225843310947784,0.39591507359238604,0.40830656210258226,0.4758574308191471,0.4684549590396687,0.48184498892021843
32,0.06294236357245536,0.01792313127708188,0.013099360648826509,0.024001036892271604,0.006375855580159008,0.003108953360861824,0.01138847506034568,0.34192616045218505,0.39865638439859025,0.3912418117908566,0.40504002543549716,0.4744841594702391,0.4662432888339348,0.4812368009108381
33,0.06012714190735638,0.016825248573992466,0.00863308020079118,0.02391426758416054,0.004220713475167347,0.0012956482306089117,0.008268594256406431,0.3378980838289797,0.3947589390353592,0.38841716585508923,0.4021417951434098,0.4767285585986063,0.4674183568329975,0.48188197091296897
34,0.07826897264575296,0.012334498280151776,0.005640875025733643,0.01984076296526177,0.00292121803810343,0.0007983193320056298,0.0057094638824296325,0.3368869641749448,0.3955650593687696,0.3893040080876869,0.40326277333183946,0.4792680635389408,0.4707341787103494,0.4846905054040442
35,0.06077971185749784,0.021453546453636937,0.01265776400591526,0.03017537161376259,0.0028839290391917743,0.0010528527752654555,0.004746375697071643,0.3371382713579206,0.3961844656351564,0.3886275571245958,0.40318160535485104,0.4846963495280101,0.4765312973838807,0.490192684523043
36,0.06318042603919549,0.024192896499761238,0.018149133563270144,0.033214462896671244,0.0029292763394636713,0.0006143470780801071,0.005043202589211746,0.33791701731750673,0.3963110841691824,0.38828252070040153,0.4025241326903907,0.4886378837652261,0.4803538137556342,0.4945266333860968
37,0.07025992323313193,0.027655080844635496,0.020609107458485362,0.03506904743506108,0.003206698423161772,0.0008277261972144542,0.005685416080894942,0.3366447695091568,0.39628805465879086,0.38966266380460945,0.4031818684470236,0.4912415860684498,0.4841387203101051,0.4975380899781803
38,0.0656959567779639,0.02937367923198159,0.020390725377828062,0.035215013564119525,0.0024093534754848875,0.0004659306580013707,0.0059334342222264365,0.33218450365856694,0.39674517390001807,0.39012477355203895,0.40402484174456577,0.4924628225267528,0.4844813323673807,0.4983758014761492
39,0.07756502477954126,0.031037055253414887,0.02306735654705365,0.03819369768835914,0.0019937135286311296,0.00022848646676501986,0.005805991182444903,0.33453816399479835,0.40010303859444296,0.3923699638225863,0.4078100460985276,0.4967453324833965,0.489094229506334,0.504113123158061
40,0.07379836436597187,0.029242812378896622,0.022740826972849258,0.03851125791827612,0.003069886081935243,0.000349610481078073,0.007173917996992264,0.3437948422521955,0.4108784037948331,0.4016323122495604,0.4184178557089586,0.5028925273856079,0.49655789432480085,0.509824617708285
41,0.0657549734984037,0.028943874259311206,0.022197283812370443,0.03657412270839238,0.003977961399584591,0.00038779259159902566,0.007097034171055214,0.3533939638601811,0.41583345612273426,0.4083009257144292,0.42536801004408564,0.5137931087689847,0.5056026344356388,0.5209730157997124
42,0.06643241277292358,0.029284892726778325,0.022762463630727175,0.037008570488708654,0.0038903171029772256,0.000670756595803888,0.006442948308379375,0.3564351414390809,0.4220964320998578,0.41543699090967906,0.43050507737176824,0.5156765716015117,0.5087651635217193,0.5227517430076231
43,0.05385821047687342,0.03272265159593915,0.02566430906257494,0.039044982128358184,0.0032592314011217617,0.0013393256189353803,0.005696034681459246,0.3673151768379674,0.42850087756018806,0.4209289632683269,0.43688836946034226,0.523150082037931,0.5153125834634805,0.5308366294185136
44,0.046460262524266494,0.03441024120490138,0.026657258837517416,0.04058980622281622,0.004113715597478079,0.0006112965725385629,0.006938021033450477,0.37900606954325167,0.4331567901741199,0.4257275254498739,0.4413324222007126,0.5276735336609836,0.5201041613884512,0.5332442340691418
45,0.05166829827981485,0.04109373635397778,0.03403357712332557,0.04708770569887286,0.004114323254169915,0.00019560316899011016,0.007048609736037827,0.38029762725048155,0.43360810872127264,0.42593798598555754,0.441619090600828,0.5301602664831411,0.5228340348216453,0.53695162921208
46,0.05528373523323438,0.040278449699081724,0.031518996533144356,0.048214170862913915,0.004211137749043135,0.0002852994278572026,0.006477044776748442,0.3797334278106772,0.43503603697564674,0.4268114539265986,0.443126513098458,0.5308435904082907,0.5240420050675921,0.5379496979626828
47,0.06375392794993047,0.03996114443075868,0.031366433886552275,0.04678187390625165,0.003458249064221379,0.0007612463372397639,0.00612493423336174,0.3806573339700902,0.43469705094208744,0.4263447802465711,0.44171632521223236,0.5323827448520552,0.52463397980499,0.5385301755496775
48,0.07217637407670645,0.04227748471595706,0.03624036560562458,0.05043071873168655,0.00368829196884341,0.0001935230122648403,0.006381399087586313,0.3833118837697508,0.4374184091969049,0.4285445023144422,0.44565885327657623,0.5354148149045956,0.5290885483298446,0.5423955821659641
49,0.09039507686226228,0.049399954893939765,0.040599685700412357,0.059010029467203,0.004101122316751528,0.00014345547192584922,0.00793742038479913,0.3854177273619711,0.4393677526123061,0.4316179057632506,0.44666572520274644,0.541201508807037,0.5339971838768113,0.5477885918908642
50,0.08627519395307826,0.04914800378195537,0.04064657179667877,0.058943174145651644,0.0022995774928566614,0.0005089080991191666,0.0066164575175308065,0.3928995552567216,0.4385525860941017,0.43167200769558595,0.44639982784765636,0.5485135841236525,0.5391900686811517,0.5555051301207867
51,0.09551864653313638,0.0482679018348821,0.03926094298642478,0.05695000819704383,0.0030632815674934955,0.0009964394764581874,0.0059144188379182,0.38788686644237425,0.4354459501468846,0.4283764992628327,0.44356909700988095,0.5495775380312601,0.5405506657437328,0.555996578362366
52,0.10136212527201742,0.04938382742878165,0.040282858993607104,0.059035401689723016,0.00446754923854396,0.0018785238173588885,0.007976765656019059,0.38276983648663715,0.428958617056613,0.4201260978321694,0.4377215564571646,0.5509264022886853,0.5404207356951634,0.5577756921579762
53,0.09867437304420643,0.04946475381219992,0.040386014760918076,0.05899888085719427,0.005337439519770892,0.0028290829764789902,0.008565727745775836,0.37836458972910025,0.4257253700367515,0.41563403068267063,0.4356129995539718,0.5534742805477462,0.5447090353993991,0.5594910953501788
54,0.09782951603984807,0.04772781535351607,0.03846281024925769,0.057156275797164154,0.006428479988263485,0.004213873130575499,0.008448506575786227,0.3840509497655315,0.4296199552049758,0.4218957388458429,0.4384812531372058,0.5559833268644859,0.5474994597047725,0.5623299334340073
55,0.06242045638638802,0.04991151580433839,0.04133700429227881,0.060051489649547124,0.00648211385902339,0.00463207966610576,0.008952041806371703,0.38438766069406066,0.4310449134387537,0.42527008824051704,0.4412408973084008,0.5579449125135191,0.549893705914776,0.5652121349108841
56,0.06896796062171191,0.04896922053061498,0.04095630154893142,0.05701084564181418,0.006515460161131812,0.004528668003665543,0.009418695078329896,0.38495841370870965,0.4354051033694044,0.4277987285387179,0.44506839543615045,0.556551677468147,0.547350604454323,0.5646794174991964
57,0.08084158620553003,0.04376910852306094,0.03644192066432094,0.051188765903236406,0.006650293787293352,0.004493200893781962,0.010090280150196355,0.3782253196768826,0.435086611895268,0.428748972004764,0.4455398906225022,0.5510241902041814,0.5432292547824107,0.5582056962892147
58,0.07278135682373234,0.040167858829252424,0.03410954092175971,0.04881161276245971,0.006515240372032637,0.004657799920665842,0.009955744581114983,0.38136974556783426,0.4330368939363726,0.425770093127941,0.44362849411735317,0.5514573498939522,0.5421885752969394,0.5578919382457425
59,0.07407005512874588,0.04207418891908493,0.035409066038895654,0.0512285864816316,0.006400902424023715,0.004872178480519267,0.009415924161123102,0.38487992085633216,0.43373298877863814,0.42622136105027875,0.44295373534625904,0.551207286599331,0.5422632189604839,0.5585352897144273
60,0.09712696593970165,0.04038809054935034,0.033095654156850285,0.04982799837591777,0.006420567715344133,0.004921307898526048,0.009456960940917464,0.3791176249623446,0.4305633840232901,0.4244356349605485,0.43943544396388196,0.5505985810127858,0.5413546879281252,0.5587631286311916
