lag,real_synergy,median_synergy_cont_shuffle,p5_synergy_cont_shuffle,p95_synergy_cont_shuffle,median_synergy_blue_shuffle,p5_synergy_blue_shuffle,p95_synergy_blue_shuffle,real_info_leak,median_leak_cont_shuffle,p5_leak_cont_shuffle,p95_leak_cont_shuffle,median_leak_blue_shuffle,p5_leak_blue_shuffle,p95_leak_blue_shuffle
14,0.020634846773001137,0.010509228123758589,0.0009131487282831643,0.016522637798221617,0.0,0.0,0.0,0.29019419729526047,0.3008180510527636,0.29386439530981795,0.30789666466105664,0.4061507997938005,0.39885842364215585,0.4136140324355525
15,0.026280361736604155,0.006385440671104008,0.002474129297961275,0.014954993113744486,0.0,0.0,0.0,0.29859649708919656,0.3069388394474528,0.30109000976146766,0.3142674264544125,0.4164181186384286,0.4104120556811598,0.42262988572431603
16,0.05537852103701507,0.009628818532856737,0.005727314381374741,0.01400045483467907,0.0,0.0,0.0003466638168029046,0.29458041472794416,0.3084555429949736,0.30109130165833636,0.31429550049428373,0.41797950705422227,0.4115360469313973,0.4258816078007285
17,0.05055145315869563,0.007801395033569428,0.0041832711020010375,0.012108181943887072,0.0,0.0,0.0026120363295610493,0.3005301018754322,0.31171608366877246,0.3050160136322335,0.3186517577787373,0.4188935334448667,0.41338113260846143,0.42581544533689175
18,0.04245173555683827,0.006256278121852848,0.0020761361823276744,0.01482009160844733,0.0,0.0,0.0019155069911560127,0.2926693797876556,0.3067715856885098,0.29937311053190213,0.31340211793870504,0.41581148534212753,0.4095026361047961,0.4237534504840197
19,0.05451083030482585,0.00618304586715944,0.0021269013287501986,0.015834205184898635,0.0,0.0,0.000788242037809062,0.2924482309994646,0.3050116646546019,0.298092680271361,0.31298732689325187,0.4174946538536429,0.4100059542338947,0.42299231230925394
20,0.03990564960657686,0.009726212923855431,0.005465789958693562,0.017935628966178674,0.0,0.0,0.0009651646192296243,0.29274774846409546,0.3068448735583857,0.30056042370387537,0.31731715026504936,0.42436050818159365,0.41812503635218057,0.4322676684004526
21,0.03200103473918293,0.017169308659033343,0.010407319080937286,0.026155205061533585,0.0,0.0,0.0,0.30346350587355697,0.3141607243260056,0.30605521726516877,0.3222747833279164,0.4330346327892566,0.4258327461171755,0.44058362509621246
22,0.032056857914769914,0.018356210225699086,0.00758002574472597,0.027820749621574863,0.0,0.0,0.0,0.2965732910958562,0.3127764608130399,0.3052819411228737,0.32096666333205404,0.43348719699771876,0.4276476907192347,0.441127444978231
23,0.0580087440601718,0.021789399298770225,0.013641955491692562,0.029953143245669493,0.0,0.0,0.0,0.302781266790676,0.31653322433207265,0.30800681800904384,0.32357401189418283,0.43876300424154696,0.4327737191285695,0.4466102787510322
24,0.05373319002058801,0.020495599633578214,0.013726980030119214,0.029522980950058193,0.0,0.0,0.0,0.3050235584317253,0.3180122534885079,0.31090989445212547,0.32300089455296993,0.4407131912189364,0.43343148666779485,0.44602039767605756
25,0.051993835955788305,0.021028362679547864,0.012742828610331138,0.028786842984144075,0.0,0.0,0.0,0.3018081449364481,0.3132736966082753,0.30751359824063335,0.3203686227297447,0.4409173375070765,0.4325875297342666,0.44663083833228834
26,0.052322365823620286,0.01970998419577599,0.011464209566281552,0.025398853143394327,0.0,0.0,0.0,0.30456471759102444,0.31024843951218783,0.3030996860167823,0.31759281719919913,0.44142030854096925,0.4320135908687174,0.44812849488388284
27,0.06854071488773403,0.0235550188572154,0.015231045210466029,0.03083475895314302,0.0,0.0,0.0,0.30438904080422846,0.31130329503285153,0.30443000128947856,0.31870277557468707,0.44364907085558014,0.4350424562339347,0.45233234562637076
