lag,median_U1,p16_U1,p84_U1,p2_5_U1,p97_5_U1,median_U2,p16_U2,p84_U2,p2_5_U2,p97_5_U2,median_R12,p16_R12,p84_R12,p2_5_R12,p97_5_R12,median_S12,p16_S12,p84_S12,p2_5_S12,p97_5_S12,median_leak,p16_leak,p84_leak,p2_5_leak,p97_5_leak
11,0.07799450166133069,0.06592372898375652,0.09356072868859129,0.05811707286541539,0.10326747559240419,0.08369848254518045,0.06646013701668643,0.10122320735677615,0.05431646695703365,0.11946024109421645,0.5211215474186254,0.5056492703085166,0.5334879070809985,0.488969254398935,0.546610122650777,0.31845421862736856,0.3027579681013128,0.3318621208547464,0.28831449581014745,0.3436138018450851,0.49092603307823457,0.4796628947661415,0.5028556928556359,0.47545607352717023,0.5133412339577911
12,0.09158466701373597,0.07741787179026374,0.10668620273384644,0.06871860596327425,0.11945116890986372,0.07376527237711725,0.06155724505774119,0.09137380767144489,0.0462433641190283,0.10928247627007674,0.5171448134636474,0.5065958368357472,0.5315985358801345,0.48819547587316686,0.5427969737792635,0.3157520122522861,0.2993694526546215,0.32916425837568203,0.28265749753179614,0.3400516499172065,0.4933617533989129,0.483803095260196,0.5063923024828166,0.4744618849534632,0.5142295998891814
13,0.10424118940891361,0.09095213020444343,0.12128341816588362,0.08351703383513993,0.13065869538676797,0.06859541405615353,0.057106904962067745,0.08507780188891863,0.04066963566029857,0.098749597909594,0.5152980420991444,0.5050641887306196,0.5287368541826063,0.48864649428443147,0.5403659378981794,0.3083502600231419,0.2920370783392616,0.3235882641259344,0.27657840416427354,0.3363665564094324,0.49712333495280947,0.4866335859703209,0.5077033227189575,0.47555351953366054,0.5164817025462384
14,0.1170815722650497,0.10373581271482106,0.1344624488902128,0.0960110544133809,0.14455269024983622,0.06389941149522461,0.05136410841917668,0.08155281332076077,0.03799839215943546,0.09404688625291976,0.5143531918542334,0.5020263872211634,0.5264086093620073,0.48905832331403837,0.5395490568334022,0.3023953683410515,0.2851364814671101,0.31983265859712556,0.2677326703369066,0.3280081024843092,0.5008729253125951,0.49094768361008234,0.5111002849550572,0.4821456501807166,0.5203294371330637
15,0.12785923462864923,0.11576783110115525,0.1448745542346503,0.1058385213737555,0.15819442664304617,0.05953859954076082,0.049651884345170635,0.07815617638403387,0.03425318707670794,0.09144404399047251,0.5137940396293829,0.4994601719937623,0.5235714150365337,0.489017845905031,0.5354600621534675,0.2981170674416782,0.2780804362507219,0.3123398950969425,0.261554498018924,0.3220400089414584,0.5051909019126812,0.49297866072799695,0.514927397298148,0.4863508898143163,0.5234350255823895
16,0.13849590475028906,0.1258440389759142,0.1529956267725659,0.11524289397971563,0.16942165752161775,0.0583974779690706,0.04498934747016529,0.07613717048454305,0.03059198806863158,0.08565483237768609,0.5112678707795026,0.4985482145446893,0.5211003120940881,0.4879485737129307,0.5323134919485732,0.2912132668379256,0.2732796164177311,0.3068340061343662,0.25720770142741006,0.31652686435318084,0.5103325593823043,0.49794023338623994,0.5188003891003021,0.49406428832532656,0.5284517207030519
17,0.14610443655122118,0.13379861621800107,0.1616239043899119,0.12297766875079624,0.17791152602734625,0.05507117763888586,0.03986106419096378,0.07002560561467888,0.02658270937186957,0.08507784943156681,0.5108228620556596,0.4984957220712535,0.522266512580634,0.4865448643791379,0.5314028007041729,0.2866922144621694,0.27103127221764617,0.3032557505488251,0.25868838974651426,0.31395678944029426,0.5164684347371136,0.5032551754662853,0.5259843647293023,0.498476185554015,0.5329167877971868
18,0.15387096707761527,0.14085153143831095,0.16942587274631937,0.13193388651819543,0.18862612001923482,0.05143016673705756,0.03834513670758901,0.06907874422452273,0.025437355679801838,0.08582925315718647,0.5079082650535556,0.49598661891241597,0.5207029183502776,0.4843405783433417,0.5272661934752378,0.2827483301232194,0.26690556708734725,0.29784955213308995,0.2548668946350648,0.3076627477785501,0.5215519153900295,0.5089902800256945,0.5314508998351087,0.5020895607337783,0.5371107537614872
19,0.1613553632592018,0.1468034104855239,0.17705216872701132,0.1360093976846124,0.19559202020018182,0.05032578506206831,0.035816639871152904,0.06768515316917247,0.024833330376924662,0.0841442973816723,0.5065758050365106,0.4915875964541645,0.5207884096793327,0.48019657117487063,0.5268370961710094,0.28077475504801674,0.2667443541796274,0.29673558320697757,0.25107072392502755,0.3055933354634204,0.5252688646815927,0.5137120734338126,0.5377700326429208,0.5064196977126012,0.5441513402328092
20,0.1635753814760228,0.14822882238679505,0.18108625054005575,0.13817451898944594,0.197468285453141,0.046957242610946526,0.03118837004368782,0.06469233630643016,0.020983551626581515,0.07983755803739954,0.5065528498030757,0.4886752566189573,0.5216126271272422,0.4784619641768544,0.5325063559898972,0.28127503812393895,0.2674962061338467,0.296570204401353,0.2506329735693344,0.3079098376113306,0.5311894785714681,0.5192166385888488,0.5443780158892866,0.5122948784907914,0.5504669916295852
21,0.16755739257345723,0.15221334087048471,0.1847194025092386,0.13769343558929822,0.2010706590693643,0.042477652896276044,0.026772368279224076,0.06279913784717016,0.015125341940193831,0.07421174847880041,0.5043505462668263,0.48610402706044886,0.5208536644503152,0.47824050790477185,0.5339857445552545,0.28254642283307824,0.26734966117537257,0.29765104019610295,0.25200498288413636,0.31178591501376146,0.5366649307015743,0.5248791182729419,0.5493565254577453,0.5166225855633052,0.5581688785435989
22,0.16933852326479776,0.15600016133973346,0.18883381608632316,0.1410289670350145,0.2059795614965852,0.039649047063655976,0.0234194324523184,0.058170080101561,0.011325845316679593,0.0690109382797722,0.5026768463783129,0.48608664617565406,0.5194674326544542,0.4769494452320166,0.5332963336223929,0.2860857608310302,0.27031382813477756,0.300198035824826,0.25535383794189914,0.31514831512923763,0.542658692959708,0.5302381898524836,0.5554810743174431,0.5229583486657334,0.5620268685727488
