lag,real_cond_synergy,median_null_cond,p2_5_null_cond,p97_5_null_cond
1,0.016008327192217182,0.030032431598434894,0.022449926130783115,0.03933474781366199
2,0.02512644030847348,0.05056749344970673,0.037556823322360704,0.0685660956730114
3,0.036745571863995345,0.07193229219463039,0.05245260140066022,0.09918063778596704
4,0.048612745015857474,0.09141015353460238,0.0643585717244677,0.12810415498687514
5,0.05570304257773932,0.1065915548240768,0.07990530025956118,0.15113142129013665
6,0.06799823135190503,0.12211132684220574,0.08685362007439758,0.16735514483270597
7,0.07654231567068766,0.13709576734666834,0.09889447721402998,0.18312220823386463
8,0.07851943556250392,0.1495374453802991,0.10772642943415008,0.19234190248968822
9,0.08345737841726478,0.1590155543904073,0.11445359932785691,0.20459202040729738
10,0.0850525711216567,0.1679239344013911,0.12223349028295363,0.21287409790104586
11,0.09105736342542718,0.1757187449466231,0.13174545530840118,0.22131546259366908
12,0.09680003906933374,0.18510266229805045,0.13738231914310672,0.23081574166429306
13,0.1011154673346738,0.19651156964323638,0.1426727688796227,0.25123150659350374
14,0.10847546486228317,0.20146172177586547,0.14611266592994504,0.2581153876373322
15,0.11931619274979176,0.20703642443929252,0.1531027825131123,0.2634766246546159
16,0.11290446795331628,0.21456545228478469,0.16153772508809106,0.2748104835981731
17,0.11258902576572978,0.22579341003925285,0.17285568333515558,0.2880973698406691
18,0.11192232670208714,0.23431216014153428,0.18071873977742636,0.3006379603850762
19,0.11478226995874194,0.2411606587424957,0.18926288405946168,0.3106853562729568
20,0.1184154045936207,0.2526095135226477,0.19466068891356678,0.3259320229817844
21,0.12110132455357475,0.2596365500564294,0.2009109766003824,0.33371656315776266
22,0.1253321714158622,0.26537210284787005,0.20410180217370988,0.337145993726237
23,0.13206302278371682,0.26802440544700845,0.20378440136228185,0.34188067133781713
24,0.14056026109057707,0.272268356572837,0.20591134927944682,0.3442282779337639
25,0.14235604253952244,0.2763391882296986,0.21030639837461743,0.34823906333881494
26,0.14774247080828334,0.28205970067977804,0.21301246062010057,0.3563889801142672
27,0.15523738400621606,0.28413421881320855,0.21544594573728817,0.36827584660548013
