mjd,blue_wing_flux,blue_wing_error,core_flux,core_error,red_wing_flux,red_wing_error
47512.0,6.8172019152,0.1281094003749358,22.391807999999997,0.13149908099473243,7.728090000000001,0.12989932018951908
47517.0,7.5006424759999994,0.13087271643093834,22.4983104,0.1359192836536391,6.9180504,0.13268213905186785
47534.0,7.2850529028,0.1317124673980774,23.680405200000003,0.1374945158716725,6.4888236,0.13326828057478643
47535.0,6.991542476,0.13172807027135863,23.3482956,0.1376434299379262,7.1610743999999995,0.13369899122034393
47549.0,6.45777024,0.13091479832848843,26.374999200000005,0.13701194911473671,7.059443999999999,0.13264861131950684
47560.0,6.8002045886,0.13613810883240005,25.1029764,0.14858061725501615,7.8100488,0.13999150424241036
47573.0,7.007885561599999,0.1294996205516912,25.2710292,0.13496892030561702,7.977261600000001,0.13156889796238624
47573.0,6.807435073600001,0.12758933838464717,25.6008888,0.13126579498224814,6.8038633200000005,0.1290657028965945
47574.0,6.5633102887999994,0.1358328413783883,25.107636,0.14976492704289346,7.509429599999999,0.13991511388780845
47575.0,6.9510264312,0.1279518570766427,25.080888,0.13199118905999144,7.177058399999999,0.12956971975015769
47576.0,6.5716229728,0.1275372482317915,24.738492,0.13102168195702574,6.574729199999999,0.12896497650012737
47582.0,6.3254130364000005,0.1290585581814581,22.232352,0.1339176659586389,7.3213691999999995,0.13120100461150744
47587.0,6.039936944000001,0.1355849819087409,23.62167,0.14954566479208148,7.279540850000001,0.13957723258961113
47589.0,6.114588212000001,0.13727749803505016,22.8935088,0.15288339856285246,6.895395560000001,0.14190723545888137
47592.0,5.789570417199999,0.13637484369574912,23.3346072,0.15020926490437267,7.2646668000000005,0.14063168290019998
47594.0,5.898960476,0.12779598549232757,20.294154,0.1307417859381093,5.6000568,0.12931643467685305
47597.0,5.442097211,0.12816867552276884,20.6219772,0.13131167550448514,6.6549347999999995,0.1298658623819886
47601.0,5.550978691999999,0.12825351391761552,20.8377756,0.1316057572982702,6.7153728,0.1299513369729269
47606.0,4.448928292,0.12995656860384086,19.1129052,0.13407078620085436,5.601136944,0.13179898847674362
47618.0,6.983052532,0.15083090148731193,23.512454400000003,0.169956820166587,7.599882,0.15550125011899293
47627.0,6.538092733200001,0.1483589563554988,25.032497999999997,0.16748627317104647,7.936119612,0.15290355451380716
47642.0,7.973371623999999,0.14329235916263505,27.823726,0.15832053019664127,7.31809452,0.1452503150050147
47644.0,6.886105393999999,0.12873606548661645,25.962166800000002,0.1320450735893286,7.1074104,0.13001603603284634
47648.0,7.392643011,0.13033087491448833,27.775439599999995,0.13569499956337963,7.13261402,0.1317162614855068
47649.0,8.191990235999999,0.1373065271655736,30.024823599999998,0.14934135317914862,7.7108592,0.13913527335438702
47652.0,7.784563874,0.12812616326490697,29.2536764,0.13162678361884864,8.332685999999999,0.12940021749446948
47652.0,7.481709990000001,0.12846552526318333,28.995475199999998,0.13242276346356163,8.512858799999998,0.12987352910126682
47653.0,8.03501608,0.1335329394786949,30.408803,0.14208929947035984,8.376588,0.13522347289717418
47653.0,8.1708092208,0.1311170694265426,31.3043312,0.1378527247321401,8.710671600000001,0.13265001784886424
47654.0,7.9328096136,0.12946604201657824,30.0356146,0.13439698450197457,7.6724088,0.13070826879472314
47654.0,7.659842339999999,0.1306442386045217,29.2003088,0.13636888447580117,7.5959868,0.1319703193128758
47655.0,7.7189001911999995,0.14251899814769398,30.6667178,0.1619479074387613,9.0153288,0.1460549903883164
47656.0,8.326369144000001,0.1292880644197909,28.6361864,0.13382637318141444,8.0681352,0.1307323113028757
