lag,median_U1,p16_U1,p84_U1,p2_5_U1,p97_5_U1,median_U2,p16_U2,p84_U2,p2_5_U2,p97_5_U2,median_R12,p16_R12,p84_R12,p2_5_R12,p97_5_R12,median_S12,p16_S12,p84_S12,p2_5_S12,p97_5_S12,median_leak,p16_leak,p84_leak,p2_5_leak,p97_5_leak
11,0.0731733906822261,0.055938189405769854,0.0934637442759999,0.03847249749837892,0.1129555197587013,0.08385251882792084,0.05928116443225065,0.10254249734235667,0.0447777157446758,0.12204243825487086,0.355910851846688,0.3376567191429318,0.3764177563794906,0.3236769719988369,0.40089349781192546,0.48506735220138764,0.4694170341478404,0.5046758119108202,0.4449247934056124,0.5218503812672223,0.685356130960957,0.67273629809424,0.6954965493235431,0.6593368554040431,0.7023470959568795
12,0.07545236257642532,0.05855317726418444,0.09703890243753285,0.03787855834983673,0.11406585157190481,0.08357032057345257,0.05984939982939542,0.100533619435881,0.04724824482798086,0.12321240260143028,0.3543268962270233,0.3334309095930617,0.3734608617029591,0.3145558252150496,0.391448575103323,0.48809836803546836,0.4730621790710893,0.5060932023664296,0.4508138950802471,0.5205644317960081,0.6841533971804739,0.6715353652931839,0.6946115919779232,0.6593084710921581,0.7044608965552417
13,0.07555644091028985,0.05963787327725398,0.09543032911703471,0.033740370539934283,0.11423152924014084,0.08048225834003173,0.05841598539444123,0.09961791932068532,0.03761060880200496,0.12365243871457275,0.3536214789594795,0.33390055759813636,0.37266822201635147,0.3152915388050376,0.3889320682715431,0.49143370462153335,0.47345206718679467,0.5080890023063466,0.4586099355114155,0.528326631099456,0.682954148101315,0.6718088552943206,0.6944404577553644,0.6614438653902518,0.7054857745240138
14,0.0769346241340085,0.05936485127133943,0.09393557248927291,0.030628264818062825,0.11100363452178628,0.07703032688661145,0.056095791479619336,0.0996241863229245,0.03589609078080016,0.12496596494285397,0.3538557889227196,0.3340984680498966,0.3699183684483835,0.3128507522946533,0.3875909244551822,0.49277117063165227,0.4738120949287241,0.5132862432659994,0.45805356179873474,0.5357571213985105,0.6848050045780573,0.671280076229913,0.6952540478534053,0.6592351926306717,0.7075783990956906
15,0.07860911855219857,0.061439583055514405,0.09423406579580557,0.028784504112471656,0.11135372876498313,0.07449193670391688,0.053691519288928215,0.09454359943125426,0.03474110186498296,0.12169076697166317,0.3506400870875198,0.33098915155890035,0.3695333560001964,0.3133942198550811,0.38538278677502474,0.49822903096467375,0.4774453439108941,0.5177772043261855,0.4561999039210585,0.5380729024104565,0.6853499376201786,0.6731719046094151,0.6955951478177496,0.6572048201112767,0.7104133227018925
16,0.08049810149798271,0.06303616409194741,0.10006278464313181,0.0295307912977932,0.11640816491551512,0.0707727819569895,0.05167743705118995,0.09114132134234026,0.032686646889401975,0.12250173626709872,0.3479122717649138,0.329304475922988,0.367545891585312,0.3121819119448515,0.38042726386344733,0.5028667047844706,0.47968940947224825,0.5187533997865711,0.46003022083633477,0.5417228832724975,0.6863580675817766,0.6751679761112274,0.6984457284327193,0.657946589181139,0.7109657422668045
17,0.07961741680869555,0.06469788962135217,0.10272315285711825,0.03538664463258153,0.12047552544737623,0.07031458217761828,0.0459618931218419,0.08647538463239544,0.03157545594865881,0.11763185587436784,0.3456592524305336,0.32839434983557,0.3673166697226521,0.3113423088610531,0.3771114848613434,0.5069355895569534,0.4842674159292379,0.5240081178480397,0.4623598008856458,0.5440260624529567,0.687275066675697,0.6737776701686865,0.6995145810555307,0.6604282729773461,0.7109107798164948
18,0.08141465239007512,0.06548916543851017,0.10601155073967185,0.04304930141053469,0.12391685066733957,0.06460671015683883,0.04355942001567356,0.08406711538622165,0.027394148695636666,0.11205916834582932,0.34194307259712264,0.3269905740605359,0.3651925555042853,0.30566502962238334,0.3786772320594882,0.5087311327353472,0.4866485671045574,0.5270007527908493,0.4564281615004638,0.5453864135037516,0.6868858272479507,0.6726231073456924,0.6979350192564759,0.6591385631182323,0.7107890255226876
19,0.08065307205099595,0.06640382768441054,0.10797054685019848,0.046257874899497106,0.12431571431513137,0.06167968171016236,0.043721984482211054,0.08209880117065493,0.02622662626867288,0.11037270437944403,0.33954085580335236,0.3239497754362909,0.36127696670342657,0.30692883492516737,0.376814790322984,0.513148979915754,0.4885983972469217,0.5287911290483299,0.4534739004024129,0.5483793337052867,0.6870618826419606,0.6753280572809226,0.6993098249065575,0.6614950578698907,0.7116654247926326
20,0.08120962038889457,0.06433778574842422,0.10651076919618903,0.04646211519316467,0.12870948333061108,0.06060950174352943,0.04194938064385004,0.08192276038501643,0.02472821703840126,0.10742183339355443,0.33650837404424255,0.3173794543087708,0.3597497662401441,0.30375220478845133,0.376734264855256,0.5169843699243906,0.4918396736166061,0.5353123817531174,0.45886999300324993,0.5513250112612151,0.6883014289297174,0.6736049836590932,0.6999732518476023,0.6607677395490844,0.7127877238797315
21,0.08485361016279391,0.06180559718563286,0.10893593178799349,0.04536204418524631,0.13228833585350153,0.0586111024417901,0.042750568456106905,0.08242562642532594,0.026343542278933076,0.10614065118407742,0.3338164818940221,0.3121464301496347,0.35559283959747917,0.3003774087564671,0.3744156779340233,0.5224863710268723,0.4991895462782858,0.5396267479655362,0.4645828452634444,0.5590960593419242,0.6877941672586875,0.6723707221407874,0.7009592762878261,0.6575726137314606,0.7123743896439503
22,0.08472356027971809,0.06136203253271382,0.10724166515969584,0.046307755162108874,0.12926626245714765,0.056262619909527495,0.04033992968335864,0.07944125699870563,0.0252110974303497,0.10938567997785599,0.3315651953827836,0.3093006058574674,0.3526592162752966,0.2962468153820668,0.3697154028366912,0.5285950199791298,0.5082112480785476,0.5445869900685795,0.47628894341065,0.5617048192787962,0.6870479629943604,0.6736474207994826,0.6999817245236633,0.6567637268534493,0.7108472633753322
