lag,median_U1,p16_U1,p84_U1,p2_5_U1,p97_5_U1,median_U2,p16_U2,p84_U2,p2_5_U2,p97_5_U2,median_R12,p16_R12,p84_R12,p2_5_R12,p97_5_R12,median_S12,p16_S12,p84_S12,p2_5_S12,p97_5_S12,median_leak,p16_leak,p84_leak,p2_5_leak,p97_5_leak
14,0.012260791967947982,0.002914745362656711,0.024390515612083292,0.0,0.03656622076174625,0.1193142839765384,0.09618636871996444,0.1457685775549366,0.07802998340507034,0.16745635888559382,0.5603690334182859,0.5424670446913269,0.5786424310857895,0.5215533462870753,0.5901695525899467,0.30584913762537225,0.2889547321787384,0.323199937117445,0.2773585454969821,0.3372581154590301,0.5619611054745395,0.5504953548508312,0.5750536607531918,0.538608842188468,0.5847679707106316
15,0.020141864446880896,0.008377459867970087,0.03367515751620358,0.00047480857005948346,0.045333618087350924,0.11107211966413807,0.0866010584363768,0.13525003851407577,0.06507811352036717,0.1581326658597488,0.5561536714921125,0.5369791997098234,0.5761571449135863,0.5193502719943306,0.5880057102423109,0.3121276514732576,0.2967805580136866,0.32890622477989556,0.28319338454295484,0.34129417391090994,0.5603621609762436,0.5507805509493288,0.5741390286702333,0.5353800759567892,0.588134942747735
16,0.026301412534330368,0.010213588836783243,0.041862345754738566,0.005298704720001744,0.053642809042205065,0.1069807492924735,0.07872084034076281,0.13039582224924012,0.05704565100655325,0.15002467725154187,0.5522463813983332,0.53112135932988,0.5720563342078099,0.5176620334701026,0.5875522612229965,0.31409196585986476,0.2991691694923927,0.3316103281115375,0.2916947645031304,0.3477713391504739,0.560819875847046,0.5502379260383753,0.5732950403581987,0.5327699584742495,0.5880159294609857
17,0.033969336538134484,0.015195244773617184,0.050304110824179536,0.007362859895000784,0.05800423334656056,0.10430250207945875,0.07497122177075946,0.1277032503850262,0.059945803227321855,0.1448645402412023,0.548375268025674,0.5253606713906632,0.5664884150542644,0.5130123692522497,0.584079158204962,0.31528503504563754,0.30059293842914986,0.3353004285901276,0.29322278380775846,0.34925201349581597,0.5627582922164385,0.5496824042124108,0.5743964152373549,0.5365492462148597,0.5883336180022029
18,0.04253494951138945,0.022161126061022277,0.05850801812398119,0.011974465752479376,0.0674905763161229,0.10237519141070271,0.07517635292193908,0.1231311495713166,0.05569193115079332,0.1443903019326842,0.5409343525569337,0.5176107273642732,0.558007592611974,0.5095719534088206,0.579157557841642,0.31811732279316435,0.30370671860886445,0.33516218656382246,0.2914557521569659,0.34986740683081863,0.5636368902700348,0.5499535322760822,0.5767413423499993,0.5368296632061974,0.5899587690336326
19,0.048851877320490025,0.029136803069095912,0.06655842758458222,0.01612540751697815,0.07961656853981071,0.10054625084561108,0.07404579013028072,0.12076613972405342,0.053960254205644306,0.13726051171040313,0.5332179212133465,0.512645792220461,0.5543479162628475,0.5034025401672559,0.569931344409104,0.3186251910748745,0.3050601304294628,0.3362681578714414,0.295930735115799,0.34875619774084027,0.5652162872625008,0.5525822481920768,0.5777933108012476,0.5395402971040023,0.5896360441002002
20,0.05593050217184976,0.03477066345103804,0.0713607680786316,0.02104722840600223,0.08691802991635879,0.09666086821972043,0.0733510064813567,0.12197261677212591,0.051911896940899434,0.13542677867734484,0.5284464098025792,0.5114071875278395,0.5468968429635631,0.49897398884843225,0.5634402363461558,0.32039496752042196,0.3039669074116511,0.3365735174878549,0.29467367205025147,0.34935332831686067,0.567321244365239,0.5550214541081218,0.5778771283468513,0.5412348664580722,0.5913720020532344
21,0.06058809357502477,0.04124951109081254,0.07903828302281633,0.025871332601342938,0.09524860673815616,0.0934032407844782,0.07134816853155024,0.1180928285576974,0.05438114516294258,0.13517742185246184,0.5241202431854202,0.5039351508851463,0.5418322264807013,0.4915207350925274,0.5596729937269498,0.32422064523715655,0.3071214989648345,0.335899016542264,0.29473410919729953,0.3540917760788317,0.5691822987880346,0.5565338625791318,0.5810283599723368,0.5459466141645919,0.5962460337988332
22,0.06501215119031768,0.045381056952135214,0.08393235719279725,0.030757897463404717,0.10146720811970499,0.0903741158476004,0.07021025843645991,0.11506798902304176,0.05691556999960375,0.1362186091601649,0.5201619990240169,0.4983445024301064,0.5366239337974461,0.48881030262966335,0.555277726953499,0.3230163319476992,0.30699100205610574,0.3414695061985013,0.28901211714193226,0.35789606964717013,0.5717759382764819,0.5596773412891208,0.5853743702975143,0.5463902427398694,0.5986270540321017
23,0.06878441538783756,0.049542350054356324,0.08921101116266471,0.03293539895313832,0.10790120341682856,0.08789590118817647,0.06782672650976979,0.1088802885471901,0.054411467730931785,0.1325064076630904,0.5151531483416742,0.49531397373652974,0.5336157546418172,0.48590824834759216,0.5527032774433309,0.32612463585774476,0.3091860801921933,0.3442989868045739,0.2924939898299184,0.35923255202803556,0.5756707727388635,0.5650359752964258,0.5902341087104679,0.5479636402646033,0.6014219358520645
24,0.071761544930902,0.05089619019193811,0.09139824229032406,0.0340471915531782,0.11820194031262993,0.08418352693140414,0.06839028970313128,0.10477578262207247,0.05482659789914552,0.1309663231374374,0.5117713423436183,0.49308537359193383,0.5303622566558304,0.48115822501787003,0.5440666325186135,0.3302386370316382,0.3094800650973041,0.3453081821094054,0.29617159861191583,0.3597267234251983,0.579402092430038,0.5681599073122665,0.5939406063985194,0.5485011032476058,0.6045393715509811
25,0.07456309554525675,0.05348935495323439,0.09475762938806909,0.03605882037878117,0.12711183333195072,0.0814524293056253,0.06508378872561765,0.1014172998837388,0.05072358009250664,0.12449235023544836,0.5058139196790477,0.4896265765558665,0.5260293061816074,0.47711379662541087,0.538691976259844,0.3345305235512957,0.3125966866773807,0.34982544282991357,0.3026659307588824,0.3658362013525135,0.5829368668350059,0.5717634612061416,0.5980884511022837,0.5514631728928365,0.607397672732687
26,0.07576113325254713,0.05665072984106926,0.10199259025965599,0.03663168031908637,0.13128142497024847,0.08053240212082712,0.06382202666656096,0.09877418658158613,0.05053769493969298,0.12002394821184485,0.49983616974107226,0.48631729598258766,0.518832009460046,0.47125209162009973,0.5295240621135409,0.3391049968388572,0.3184028795651753,0.3545967793786332,0.3036800809616529,0.37027621628130936,0.5870310693555543,0.574150300128316,0.600330582390064,0.5552783637377645,0.6109796941176106
27,0.08117961490547149,0.06187287100756124,0.10671929506226015,0.037267472883781246,0.13444373151313319,0.08104578007118043,0.062011082693199396,0.10033765811046227,0.05103700053603823,0.1157180023989443,0.49240208935984575,0.48477960290400435,0.5129540449906798,0.46770431316398137,0.5238715614607574,0.3390135228049277,0.3188099426122882,0.35736914131177966,0.30370914019388145,0.3725923640873697,0.591243183746947,0.5779455342817444,0.6040799612468433,0.5580060412598279,0.6124906700324824
28,0.08529433400745837,0.061877843183881585,0.11097193353512422,0.03570294353906813,0.1394891918635481,0.081801730063115,0.0646375190023032,0.10249359664859595,0.052706316706401364,0.12152219961039452,0.48691696166198595,0.47728876451779206,0.5064442293896522,0.46414161151493244,0.5209910921941593,0.3380792821513881,0.3196510212171818,0.36111353398069024,0.3042443792112252,0.37518155047543217,0.594394758610808,0.5834565625671707,0.6092017398865652,0.5633343662480418,0.6165101795088119
29,0.08874738622981651,0.06397140511023765,0.11605673037560224,0.04068907255367337,0.14143067148121058,0.08373074461007562,0.0664844801748191,0.10666074665021569,0.05001759187115152,0.12469709101579042,0.4828571153178425,0.4685600063888428,0.5009808906731109,0.4561294654251393,0.5169561809312324,0.33970169040391995,0.32023611641102245,0.3612590200404157,0.30351262398146067,0.3812371394146691,0.6009422550598084,0.5885531028796545,0.6137064119783078,0.5720354422014502,0.6211800626452536
30,0.08868859142677316,0.0638935515847151,0.11527817700567217,0.04488710741791732,0.14323786148119022,0.08442165423389236,0.06710662826146721,0.11036632072425771,0.04976858311376212,0.1252614088202088,0.4780879630102947,0.4617287683288745,0.4975821879282501,0.450654843427384,0.5116168859073941,0.34116269530913834,0.3236392111933942,0.36541167535785113,0.3018493893367215,0.38492900219223597,0.6071933619132954,0.5936078547216795,0.619017252052979,0.5772864716850241,0.6251183009754424
31,0.09109176901313093,0.06866749884485661,0.11135246910494959,0.04788390049888729,0.14184099071412598,0.0855963984163984,0.0680113309269516,0.11260573709244066,0.05070882555017517,0.1253581310366519,0.4748431489379449,0.4569692239270428,0.4896547831381001,0.44502960762322175,0.5069467083098257,0.34344037662873983,0.3240674096544208,0.3672081549175482,0.3025079981645446,0.3872996780575975,0.6128120089776437,0.5966111588507489,0.6234391933914215,0.5840399687450218,0.6311151424225395
32,0.09116294316104129,0.06680813485584365,0.11355788873054967,0.04613901479672229,0.14503867374284748,0.08540501438589473,0.06703153168189677,0.1134073048986001,0.05278461499432893,0.12892306386566665,0.4730788454216053,0.4537237338108083,0.48914759648770706,0.4390184399161789,0.5037310277512002,0.34561061934070547,0.3274107286663964,0.3677093328335882,0.3026601945848763,0.3887064079218834,0.6167021218192156,0.6030636113678742,0.6272918385722567,0.5915939348058284,0.6386213389351807
33,0.08796335186403845,0.06791529330090118,0.11370774050927715,0.04501767940200093,0.14013309356640347,0.08448212068187305,0.0646464351493788,0.11212727056220548,0.05292705678182176,0.12912077109889777,0.4720731930840453,0.4543718170333556,0.4895335769730663,0.4354333430105121,0.5010088575983185,0.34902112455381146,0.32986715034066016,0.36787659009467305,0.30322325502047637,0.3937827517869312,0.6225373976780377,0.6101335729558084,0.6320164178364974,0.5931201852271156,0.6421004835804716
34,0.08831653188305055,0.06729236910794434,0.113103051172878,0.04351083134308624,0.13748832754396983,0.08363805316965182,0.06629130493840736,0.11231408319554721,0.0530463803443731,0.13108650476820324,0.4711282446088767,0.4523612964920165,0.48704404751195585,0.4342876732391604,0.5003992261695123,0.35250354153889174,0.3322385221363093,0.37156638471901915,0.30955646255701375,0.3979894770793463,0.6269497534220788,0.616815028457836,0.6362369449580259,0.5964964172490473,0.6476287247681947
35,0.08581408663907894,0.06496143336406322,0.10894022185587107,0.04544763748583611,0.13471157742016088,0.0847777548820728,0.06605427683542754,0.10880064838266626,0.052105933791472735,0.13550486394291278,0.4713919788547558,0.4525930484757828,0.4887493004220592,0.4331780866120547,0.5041672565993932,0.35518069550087994,0.3352796963062615,0.3730170169088816,0.3098322501999896,0.3992227343964034,0.6328104640016861,0.6213267760403824,0.6424526222534228,0.6013964654258398,0.652324744143655
36,0.08018556907167093,0.06402221572778115,0.1043006370572019,0.040154043531711134,0.13455743586667018,0.08436567715549592,0.0658592331582575,0.11110650372905732,0.052908174503847855,0.13660119568466272,0.46801148839769047,0.45176183128371306,0.48608029708874995,0.43379717665434137,0.49877177365112846,0.3588149383775577,0.34068430259004434,0.3734523348196389,0.31590292087337474,0.40285537806723265,0.6365361366681275,0.6239583590749258,0.6460465535127579,0.6052719704306322,0.6558897440023336
37,0.07771418292353152,0.06159495968017823,0.10033426491424892,0.038194264235262204,0.13073850414704602,0.08517283865359343,0.06906452215163109,0.11288430411190031,0.052495231163178065,0.13598586168959098,0.4682976425425338,0.44875489160958343,0.48507146578517807,0.43277493932128697,0.4994846573069481,0.3648507526885131,0.3454624097613512,0.37781105376734453,0.320309384327592,0.40502072066568867,0.6390451420163683,0.6268574762625926,0.6498046185236971,0.6114852456641793,0.6590639390656196
38,0.07407088602147034,0.05843422232578196,0.09822102382832468,0.03514122840786275,0.12990593123294103,0.0880664447948848,0.06942907767232721,0.1142222517255667,0.05189192428708318,0.13759671526527223,0.46742012171422964,0.4484370814407184,0.4860886521835652,0.4332749753156979,0.499846157213996,0.3664585656922118,0.34799951672981455,0.3801293531949431,0.32894668108499264,0.4103945104418612,0.6420046579217066,0.6300018053725179,0.6538638329148606,0.6169157005879873,0.6620764711570205
39,0.07083607589835636,0.05525575247035491,0.0928475680666232,0.03262169585469213,0.12359667113197849,0.08993905500950168,0.0718858078696892,0.11459947433589951,0.052025867273614315,0.13722406368951032,0.46596581577125806,0.4468099401748395,0.4851014588264632,0.4314498365607852,0.4994641767211173,0.37186936466482684,0.35069218325251644,0.3858671150022904,0.3337688925097875,0.41432344390351417,0.6439738990121182,0.632231221167265,0.6555332635066764,0.6176767587434859,0.6662045084829954
40,0.06760771761966414,0.049021751607034744,0.08918268410095787,0.029297625555806655,0.12027540473948257,0.09205231954997109,0.07273164470078071,0.11666064269402537,0.04869328240415658,0.1376568758461499,0.46652909138902887,0.44620531785131584,0.4813838048424654,0.4312126914561558,0.5014711625562779,0.37454504280745626,0.3515149103809464,0.3882069149068058,0.33783543945263805,0.41832195402795147,0.6465100879028305,0.633528046496152,0.6580953804654228,0.6175349054581539,0.6684280950603765
41,0.06336839209932654,0.04503320762799894,0.08864913454983665,0.029801907085172646,0.11888551935711936,0.09431629255621779,0.07051747397574816,0.11515025708670616,0.049133250023726496,0.1403709518881808,0.46593671170990625,0.44432398252892286,0.4813626075298574,0.4279934747213481,0.4992475620725248,0.37636822365995826,0.35381000850746475,0.3916125550001404,0.33644398252104607,0.4204674655935497,0.6475591339925488,0.6354436659890268,0.66114022401519,0.6224727686837753,0.6704870986746722
42,0.06094842085069155,0.043878785066654054,0.08789551374230503,0.028692877587386527,0.11486508814705121,0.09305668889296581,0.06860272114491175,0.11313716471143016,0.04955118067868971,0.13733756974913866,0.46509130461410086,0.4447759574403481,0.4793577171222074,0.42724731100466407,0.49631455855249396,0.3779579766990244,0.3592543013943203,0.39443386236156025,0.34391472645918975,0.4217007072111852,0.6496722296125246,0.6382110163096564,0.664452321661983,0.6246870850824129,0.6708936405306697
43,0.05996503168596652,0.04185895396251061,0.08398653787106465,0.023965420933268623,0.10996052959308497,0.09169026463791101,0.06897263261574273,0.11775810194583278,0.05233584976835901,0.13982946196398385,0.4648939180953664,0.44381806239046556,0.4790757540710199,0.4258990822089745,0.49936501551649337,0.3806258035176923,0.3618591612459991,0.39966064421110603,0.3482480553477844,0.42449495528768716,0.651698570356922,0.6407185091258201,0.6657795538240939,0.6256772018389586,0.6717518844819923
44,0.05801618535393885,0.03836690393578159,0.08037131825173502,0.0216696398924435,0.10884982521055547,0.09113294637281719,0.06783099804510195,0.11566607484341347,0.05459757016301252,0.13755161962599896,0.4652094572563212,0.4445567122394841,0.47769161059899484,0.424477058057532,0.501036120350217,0.3868951371295931,0.3641396131496733,0.40282593603286165,0.35410455734705715,0.42192356170514916,0.6537684570506979,0.6418670645309037,0.6678169439087864,0.6255293249375238,0.6759415678512803
45,0.0549667233434946,0.03745814968204224,0.07867262818037407,0.019592739083748735,0.11035712129897535,0.09134285237428949,0.07060609325377423,0.11477130369536394,0.05030251341918294,0.1357849436029491,0.4637962931689481,0.44329382594455463,0.4775565268719045,0.4236364247901249,0.5000859131800576,0.39014879496560717,0.3684453624907045,0.4077159400901502,0.35278328570132406,0.41981540844445797,0.6565119707310809,0.642306815524844,0.669599837201336,0.6292780142322838,0.6822115254531091
46,0.052979787500640904,0.0339749958764948,0.07390406116357989,0.01796795504801906,0.10489441300507997,0.08802750945180574,0.06787854168998751,0.11464662957439248,0.0416484265613495,0.1328529583938374,0.46330916814229606,0.4417292026152877,0.4792990136264553,0.4248634552378476,0.5006469420275641,0.3957321706549761,0.3726308651133609,0.4136298604580138,0.3582642943610145,0.42623905423914826,0.6587884222077296,0.6445020637438804,0.6716317230670038,0.6332179417900874,0.6853596063081226
47,0.0514622239085365,0.031116482467161262,0.07386876555051419,0.01611306686296947,0.10531204292284697,0.0869805645191851,0.06778675103410087,0.1115855648970866,0.041963314500143484,0.13055804811702126,0.45887989927411366,0.440318416786605,0.4779653068347153,0.4223123381816269,0.49975687141602443,0.401883860797817,0.3810328164881845,0.4185507217242573,0.35951877085878825,0.43433487997942827,0.6605608514792704,0.6455359636453825,0.6730504242822164,0.6341805694158861,0.6869056045469961
48,0.05056675500158388,0.034453571986308454,0.07521382230067938,0.014444502826865558,0.10280571680371567,0.08568348622032226,0.0644869327736759,0.11175190131252671,0.04282022526137723,0.12408038033851614,0.4560123933538043,0.43964739645974915,0.47738105742135545,0.4218132155510433,0.49853607736960454,0.40534917032618956,0.38330507082877113,0.42231049382124863,0.3612374515501541,0.44034959251388756,0.6620072434904318,0.648679405503618,0.6756076982587543,0.6359162538398365,0.6881164534223193
49,0.049523637714868424,0.03592975751731061,0.07543028980194573,0.014608183604669252,0.10702369510449378,0.08475784735359251,0.06395635273606178,0.11162557205279827,0.0461431782624634,0.12164098392262727,0.4552567931659941,0.43603596664269084,0.4750192653072793,0.4216340582007899,0.49319504950202897,0.4038925837593457,0.38419027594289373,0.42462367045192506,0.3693900265393232,0.4402779730633721,0.6651930803505526,0.6534599636374507,0.6783714920494456,0.6412816737303099,0.6909523937393699
50,0.05069960462744921,0.03600502462899674,0.07570443941251968,0.016439951608962854,0.10764742963200773,0.08439736173099242,0.06355623070655166,0.11022766170185919,0.04968430091514914,0.1213273993937474,0.45351322954091455,0.43518401609541135,0.47396773618123605,0.4193799882843818,0.48769110294174983,0.4062591848521704,0.3866766445549794,0.4231806635457525,0.370936122743032,0.4412119446098612,0.6678813366572148,0.6588466259599969,0.6819755364199629,0.641630180081816,0.6961338198921214
51,0.05200164281850778,0.035712444956264515,0.0757662894357251,0.016631601478803694,0.10504609008114953,0.08597915336136043,0.06422402435927008,0.11043121271820952,0.05207869445798259,0.12294318795192422,0.45051135523716956,0.43099026671501517,0.4707092822987833,0.41478073818405836,0.48246781874088457,0.40849264247952893,0.3882756282421199,0.4255302145081405,0.3760197305448925,0.4448906908559918,0.6710741481767559,0.6601692538457758,0.6848958484045224,0.6464056355054686,0.6972477405301004
52,0.05336964362771179,0.035711239867114664,0.07837983268252831,0.016742576591631038,0.10291610154799456,0.08560191787506113,0.06457148483598069,0.11201597083024424,0.04905190044577216,0.12229106788305878,0.44903158071326243,0.4275304511462747,0.46780375798144846,0.41310797544772226,0.4790718478165319,0.40858132486894727,0.38937564517105894,0.4270408265019586,0.3787169607383104,0.44464396917628807,0.6728897192771943,0.6621588980159553,0.6856458125497211,0.6479108205293913,0.6965219541974942
53,0.051619436202740704,0.03455003128029113,0.07959294303682482,0.019340479695865522,0.1046947415841421,0.08498881793363969,0.06661126678847809,0.10846593126369862,0.05192908321615796,0.13058688853730407,0.44548253722791353,0.4250456032256162,0.4629413543318883,0.4109300758929577,0.4755004773460424,0.412470008213933,0.3932572371598428,0.4304940466820215,0.38053981454965097,0.44678303024468746,0.6740636158918862,0.6647972434407382,0.6861515806652165,0.6482019987425124,0.6961852385533438
54,0.049131241386171184,0.03389421258610307,0.07716534661238297,0.023115476662446913,0.10542568909079189,0.08650500700411126,0.06832377211348874,0.11173571794936246,0.05372527672614084,0.1346724100692208,0.4441861504391777,0.4214310449856519,0.45924645717331475,0.4111626281195636,0.4725666996295929,0.4137975152820073,0.39272604888747936,0.43275035826011726,0.3814251699817628,0.45393731575675306,0.6770100485227944,0.6663577173923324,0.6890406728784623,0.6516030071922692,0.698563762509908
55,0.04892788095842841,0.03391916637827531,0.07202362448519437,0.024266430573245405,0.1017382862103301,0.0885645229695798,0.07026140279473024,0.11220995728488649,0.0549137304705722,0.13931242422742396,0.44072883980881505,0.4175398601024202,0.45299721048384267,0.4063392793903765,0.4704405453865614,0.41809010235149446,0.39885341107179395,0.43564543021246277,0.3833173504237272,0.4506073204833848,0.6781362617033976,0.6667638202372931,0.6905079239708378,0.6521699426365885,0.6992043056425163
56,0.04802558440623217,0.032418250976208506,0.06663689544011128,0.02329849678816719,0.09697850850106056,0.09642172299226805,0.07689855642746676,0.1166434328510747,0.05700950348077044,0.14118891161890193,0.4368235519145012,0.4154927299328175,0.4499024283575874,0.4069355158979281,0.4662852881416165,0.41901507752249634,0.4022274325778507,0.4368817205419267,0.38796995236245213,0.4516106113938716,0.6782972454473357,0.6679325608333461,0.691600764352673,0.654449646293215,0.7015573915616606
57,0.045814303828307305,0.03205072771982601,0.0650458427910963,0.016712727992421572,0.0912885227212653,0.09714231079383512,0.08150060930508927,0.12020469860063296,0.05884252478469327,0.1417750648432853,0.43191727733575924,0.413831182788388,0.4488699006194906,0.40173449354932217,0.4623263679450336,0.4199152911012962,0.4046130169205545,0.43766630240746546,0.38875878348557247,0.4522201150732398,0.679075169616101,0.6689133517633984,0.6911621688281422,0.6551620430220658,0.7029458561378359
58,0.043013284050091236,0.029355840478846353,0.06133528453173348,0.00920821867304203,0.08779552842853827,0.09952570349206477,0.07936769203234097,0.12492604582866725,0.05990171198879631,0.15143544012923,0.4316641181164414,0.41144291392307003,0.447794252753383,0.3961867208550794,0.4595416654714296,0.42394771820899413,0.4052703978829293,0.43712451024938104,0.38606646214243945,0.45193243455329546,0.6792216562457047,0.670017518584003,0.6918918420258362,0.6571185073095007,0.7026832511560428
59,0.040930344689472216,0.024700672524642555,0.05607340718039615,0.006831714531877945,0.08293541587615995,0.10201540467708226,0.08058248908365227,0.12926333834873024,0.06538918960815908,0.15454139795921096,0.43064207675339206,0.40968404385711177,0.44765952805937287,0.39397467585496454,0.4630245919555597,0.42534827966093425,0.40611820682528116,0.4401096226351512,0.38117613457409505,0.4565201599718868,0.680831401192662,0.6721953786857567,0.692687299832801,0.6583366354889907,0.7069648240501859
60,0.038695989796646096,0.024991819205184538,0.05317671297906699,0.007167777937694983,0.07874938955023732,0.10102604875196819,0.07982728371694295,0.13183260562329668,0.06638198534993554,0.15591806972740144,0.4294274777909559,0.4089842803805806,0.4457818970743807,0.3880047830309183,0.46494437162376157,0.4276403833863591,0.40896124498573994,0.4426266731442969,0.3851867675034831,0.4621501599097573,0.680537961468332,0.6711877973392161,0.6927935757859938,0.658200543420546,0.7077763307023344
61,0.036386609006795814,0.024488288696276044,0.0536417863853384,0.007499269725345852,0.08009744068062535,0.10413009185038738,0.0790153310037947,0.13039591203366246,0.06688143251420921,0.15395210389654312,0.4261652358573501,0.40883773686563246,0.44448705374138797,0.3895903238954147,0.4631070310773774,0.430617325023179,0.41266390926629015,0.44635633254732476,0.38929406419815,0.4634426958690499,0.681976811581036,0.672071830579854,0.6947232694961247,0.6560968424429353,0.707327920615968
