lag,core_synergy,red_synergy,blue_synergy
1,0.2624783563497779,0.498791595062403,0.14875884166934564
2,0.274843819273681,0.4938427463953102,0.15380653212150996
3,0.2909153170731322,0.49728686953857676,0.16029151943588887
4,0.3094172943162757,0.49051902268012415,0.16571378402704262
5,0.31549164700476556,0.4955679953702741,0.1700143802415189
6,0.3230952209471879,0.4901035805682327,0.18247854539427977
7,0.3300992488969664,0.47998162694192653,0.20315512335483013
8,0.32612947417460325,0.48173075755542916,0.22566889047769703
9,0.32586222364237194,0.4833373159086896,0.24610228105356974
10,0.3243989277116655,0.4880120223973054,0.2665719060547252
11,0.3301783186836433,0.4906573818914601,0.28292419260807156
12,0.32373729912644894,0.5008105884952905,0.2971150862796166
13,0.31646773154007624,0.500103496016528,0.30135206879129667
14,0.30905017629747217,0.5074034454730908,0.3049224325260906
15,0.3071533999694922,0.5188322745714661,0.3051737533879892
16,0.30106871553334097,0.5287155463981414,0.3104401717175374
17,0.29493705141727267,0.527555828267634,0.3126161613464885
18,0.2922008990107946,0.520779212478672,0.31816505313319365
19,0.28843015132611377,0.5232972991860885,0.3190595681034088
20,0.2891091606286644,0.531830540814736,0.32193207118335626
21,0.29379058391807156,0.5373420711179856,0.32334218074204757
22,0.2954984889513204,0.5386974237649537,0.327039911684286
23,0.28908750833564223,0.5468933057421834,0.33057882182598985
24,0.28766665838184097,0.5477370258088579,0.3382207379037899
25,0.2843248551097537,0.550973602254674,0.33935446380861367
26,0.2778922985064269,0.5576348956415239,0.34548488447638787
27,0.2701148766397116,0.5675237872878452,0.34456331396908124
28,0.2616189980516246,0.5792333913191594,0.3497790696889715
29,0.26498087975407986,0.5858313574159135,0.35243548527130075
30,0.2775245640206821,0.587071195105455,0.3537314867860049
31,0.28980147447371746,0.5899073310668671,0.35825081643842743
32,0.29641051835000337,0.5872101371255816,0.3674843226870897
33,0.30575588022461037,0.5891045548541546,0.3783798642998248
34,0.3215175910550767,0.5921124114607998,0.38113109203159823
35,0.332750834145814,0.5944057469273223,0.38423077425562224
36,0.35137112625532974,0.5993728669055114,0.38224976613914863
37,0.36393064700630534,0.6040145421387937,0.382856428277729
38,0.37328603583634784,0.6062531210177409,0.3846971978115805
39,0.38054249211967456,0.6050677570134327,0.3904863039795377
40,0.3858144626907327,0.6044284169323738,0.38934156230941785
41,0.3884499296775233,0.6004471459581049,0.39227118655354615
42,0.39318255632620625,0.5966771146319744,0.3951109988086558
43,0.40163168797514187,0.5992602312338728,0.40022858324718674
44,0.4103770470855646,0.607931139265112,0.4020986508069115
45,0.4158313007551182,0.6180169598542892,0.4001318319460313
46,0.42787139553405246,0.6207040532960847,0.40727543040711167
47,0.4341996838402317,0.622783964172323,0.4140632628692609
48,0.4414823553972016,0.6161021673439718,0.41093398938745485
49,0.44672469915408225,0.6162522595340213,0.4127968249547024
50,0.4477536569113133,0.6190319423985344,0.41544823399280073
51,0.45104137219004486,0.6228648150334478,0.424274045823021
52,0.4527429461583332,0.6285266641877465,0.4349280578684341
53,0.4597496540555514,0.6323277763292098,0.4418653146780036
54,0.4611934144123254,0.6334909553956202,0.44517924120975744
